YEAR,STATE,State ANSI,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $",1000ACRES_PLANTED,1000ACRES_HARVESTED,YIELD_CORN,
2016,ARKANSAS,5,"3,561,931,000","7,297","7,138",171,
2016,CALIFORNIA,6,"31,382,226,000","3,208","2,806",185,
2016,COLORADO,8, (D),"6,170","5,881",137,
2016,CONNECTICUT,9,"27,458,000",70,66,(NA),
2016,DELAWARE,10, (D),457,439,170,
2016,FLORIDA,12,"3,901,138,000","1,148","1,121",145,
2016,GEORGIA,13,"2,730,761,000","3,629","3,286",165,
2016,HAWAII,15,"164,782,000",15,15,,
2016,IDAHO,16,"3,083,809,000","4,163","4,027",188,
2016,ILLINOIS,17,"14,069,300,000","22,770","22,574",197,
2016,INDIANA,18,"7,047,403,000","12,080","11,990",173,
2016,IOWA,19,"14,630,968,000","24,455","24,250",203,
2016,KANSAS,20,"6,806,668,000","23,594","23,071",142,
2016,KENTUCKY,21,"2,809,739,000","6,125","5,985",159,
2016,LOUISIANA,22,"1,784,651,000","3,315","3,184",165,
2016,MAINE,23,"277,955,000",243,239,(NA),
2016,MARYLAND,24,"702,913,000","1,605","1,474",152,
2016,MASSACHUSETTS,25,"109,941,000",108,106,(NA),
2016,MICHIGAN,26,"3,926,839,000","6,423","6,313",157,
2016,MINNESOTA,27,"10,106,232,000","19,887","19,585",193,
2016,MISSISSIPPI,28,"2,252,584,000","4,177","4,114",166,
2016,MISSOURI,29,"5,695,500,000","13,404","13,107",163,
2016,MONTANA,30,"2,392,936,000","9,217","8,809",100,
2016,NEBRASKA,31,"9,461,748,000","19,544","19,223",178,
2016,NEVADA,32,"172,307,000",356,346,(NA),
2016,NEW HAMPSHIRE,33,"28,965,000",68,67,(NA),
2016,NEW JERSEY,34,"431,876,000",319,309,145,
2016,NEW MEXICO,35,"620,500,000",908,756,150,
2016,NEW YORK,36,"1,674,794,000","3,015","2,950",129,
2016,NORTH CAROLINA,37,"2,817,448,000","4,438","4,271",129,
2016,NORTH DAKOTA,38,"7,559,528,000","23,686","23,022",158,
2016,OHIO,39,"5,126,432,000","10,000","9,905",159,
2016,OKLAHOMA,40,"1,583,766,000","10,018","8,196",121,
2016,OREGON,41, (D),"2,149","2,101",230,
2016,PENNSYLVANIA,42,"2,214,898,000","3,668","3,561",129,
2016,RHODE ISLAND,44,"1,458,000",9,9,(NA),
2016,SOUTH CAROLINA,45,"708,183,000","1,505","1,448",127,
2016,SOUTH DAKOTA,46,"6,040,214,000","17,341","16,887",161,
2016,TENNESSEE,47,"2,121,694,000","5,030","4,920",151,
2016,TEXAS,48,"7,253,104,000","21,564","18,204",127,
2016,UTAH,49,"407,011,000",938,917,175,
2016,VERMONT,50,"126,019,000",280,275,(NA),
2016,VIRGINIA,51, (D),"2,680","2,593",148,
2016,WASHINGTON,53,"6,794,910,000","3,718","3,645",235,
2016,WEST VIRGINIA,54,"180,600,000",670,665,145,
2016,WISCONSIN,55, (D),"7,885","7,705",178,
2016,WYOMING,56,"404,659,000","1,441","1,390",147,
2015,ALABAMA,1,"1,005,733,000","2,320","2,275",147,
2015,ARIZONA,4,"1,942,539,000",731,692,210,
2015,ARKANSAS,5,"3,602,502,000","7,117","7,337",181,
2015,CALIFORNIA,6,"31,272,380,000","3,083","2,918",157,
2015,COLORADO,8,"2,142,134,000","6,036","5,597",142,
2015,CONNECTICUT,9,"77,376,000",79,75,(NA),
2015,DELAWARE,10,"271,590,000",461,476,192,
2015,FLORIDA,12,"4,128,446,000","1,146","1,146",141,
2015,GEORGIA,13,"2,888,688,000","3,694","3,496",171,
2015,HAWAII,15,"163,147,000",15,16,,
2015,IDAHO,16,"3,141,128,000","4,160","4,113",207,
2015,ILLINOIS,17,"12,864,922,000","22,616","22,843",175,
2015,INDIANA,18,"6,150,603,000","12,065","12,255",150,
2015,IOWA,19,"14,198,589,000","24,655","24,605",192,
2015,KANSAS,20,"6,452,431,000","23,320","21,904",148,
2015,KENTUCKY,21,"2,869,683,000","6,243","6,122",172,
2015,LOUISIANA,22,"17,458,538,000","3,392","3,545",171,
2015,MAINE,23,"297,567,000",260,271,(NA),
2015,MARYLAND,24,"665,199,000","1,582","1,487",164,
2015,MASSACHUSETTS,25,"163,298,000",112,92,(NA),
2015,MICHIGAN,26,"3,991,712,000","6,419","6,487",162,
2015,MINNESOTA,27,"10,011,616,000","20,015","19,324",188,
2015,MISSISSIPPI,28,"2,073,795,000","4,274","4,248",175,
2015,MISSOURI,29,"4,396,742,000","12,081","13,832",142,
2015,MONTANA,30,"2,122,117,000","9,451","9,446",110,
2015,NEBRASKA,31,"9,744,516,000","19,652","19,146",185,
2015,NEVADA,32,"236,279,000",334,443,(NA),
2015,NEW HAMPSHIRE,33,"43,511,000",63,68,(NA),
2015,NEW JERSEY,34,"426,179,000",314,320,147,
2015,NEW MEXICO,35,"678,840,000",975,677,180,
2015,NEW YORK,36,"1,710,220,000","2,839","2,994",143,
2015,NORTH CAROLINA,37,"2,827,648,000","4,753","4,952",113,
2015,NORTH DAKOTA,38,"6,756,818,000","23,710","22,205",128,
2015,OHIO,39,"4,816,081,000","9,973","9,894",153,
2015,OKLAHOMA,40,"1,505,003,000","10,126","7,834",129,
2015,OREGON,41,"2,072,663,000","2,104","2,048",188,
2015,PENNSYLVANIA,42,"2,404,910,000","3,568","3,679",147,
2015,RHODE ISLAND,44,"6,603,000",9,10,(NA),
2015,SOUTH CAROLINA,45,"601,184,000","1,624","1,633",93,
2015,SOUTH DAKOTA,46,"6,096,084,000","18,100","17,335",159,
2015,TENNESSEE,47,"2,087,482,000","4,926","5,045",160,
2015,TEXAS,48,"5,839,018,000","21,701","17,476",135,
2015,UTAH,49,"470,158,000",917,893,173,
2015,VERMONT,50,"115,832,000",237,270,(NA),
2015,VIRGINIA,51,"1,167,886,000","2,705","2,715",161,
2015,WASHINGTON,53,"6,564,290,000","3,660","3,784",215,
2015,WEST VIRGINIA,54,"187,087,000",676,701,148,
2015,WISCONSIN,55,"3,676,468,000","7,999","7,868",164,
2015,WYOMING,56,"431,167,000","1,496","1,415",159,
2014,ALABAMA,1,"1,055,808,000","2,360","2,275",159,
2014,ARIZONA,4,"1,686,339,000",701,692,210,
2014,ARKANSAS,5,"4,287,070,000","7,463","7,337",187,
2014,CALIFORNIA,6,"35,347,545,000","3,405","2,918",165,
2014,COLORADO,8,"2,321,576,000","6,188","5,597",146,
2014,CONNECTICUT,9,"81,435,000",79,75,(NA),
2014,DELAWARE,10,"311,802,000",495,476,200,
2014,FLORIDA,12,"4,222,267,000","1,170","1,146",135,
2014,GEORGIA,13,"2,807,809,000","3,795","3,496",170,
2014,HAWAII,15,"185,055,000",16,16,,
2014,IDAHO,16,"3,372,861,000","4,302","4,113",200,
2014,ILLINOIS,17,"14,985,501,000","23,025","22,843",200,
2014,INDIANA,18,"7,696,158,000","12,360","12,255",188,
2014,IOWA,19,"14,259,358,000","24,876","24,605",178,
2014,KANSAS,20,"6,503,060,000","23,007","21,904",149,
2014,KENTUCKY,21,"2,923,501,000","6,267","6,122",158,
2014,LOUISIANA,22,"2,406,710,000","3,587","3,545",183,
2014,MAINE,23,"289,234,000",277,271,(NA),
2014,MARYLAND,24,"789,509,000","1,617","1,487",175,
2014,MASSACHUSETTS,25,"158,573,000",95,92,(NA),
2014,MICHIGAN,26,"4,080,511,000","6,618","6,487",161,
2014,MINNESOTA,27,"9,081,064,000","19,741","19,324",156,
2014,MISSISSIPPI,28,"2,533,648,000","4,308","4,248",185,
2014,MISSOURI,29,"6,125,840,000","14,094","13,832",186,
2014,MONTANA,30,"2,547,409,000","9,967","9,446",100,
2014,NEBRASKA,31,"10,174,772,000","19,544","19,146",179,
2014,NEVADA,32,"387,654,000",455,443,(NA),
2014,NEW HAMPSHIRE,33,"36,739,000",69,68,(NA),
2014,NEW JERSEY,34,"456,743,000",331,320,157,
2014,NEW MEXICO,35,"666,234,000",983,677,195,
2014,NEW YORK,36,"1,856,656,000","3,051","2,994",148,
2014,NORTH CAROLINA,37,"3,658,282,000","5,070","4,952",132,
2014,NORTH DAKOTA,38,"6,951,812,000","23,004","22,205",124,
2014,OHIO,39,"5,671,581,000","10,034","9,894",176,
2014,OKLAHOMA,40,"1,451,018,000","10,781","7,834",147,
2014,OREGON,41,"2,240,637,000","2,086","2,048",190,
2014,PENNSYLVANIA,42,"2,521,996,000","3,789","3,679",154,
2014,RHODE ISLAND,44,"7,245,000",10,10,(NA),
2014,SOUTH CAROLINA,45,"922,394,000","1,674","1,633",117,
2014,SOUTH DAKOTA,46,"6,513,046,000","17,816","17,335",148,
2014,TENNESSEE,47,"2,317,355,000","5,155","5,045",168,
2014,TEXAS,48,"6,416,640,000","23,473","17,476",148,
2014,UTAH,49,"557,593,000",937,893,160,
2014,VERMONT,50,"99,669,000",277,270,(NA),
2014,VIRGINIA,51,"1,274,752,000","2,816","2,715",145,
2014,WASHINGTON,53,"6,302,662,000","3,889","3,784",215,
2014,WEST VIRGINIA,54,"188,936,000",706,701,149,
2014,WISCONSIN,55,"4,053,299,000","8,089","7,868",156,
2014,WYOMING,56,"479,786,000","1,478","1,415",138,
